# TPC-DS Benchmark Report (SF=1)
# generated,2026-05-27
# build,HEAD=b17245d (adaptive join-order downshift)
# config,"cost_model=pg, max_parallel_workers_per_gather=0, ORCA via tpcds.bench (plan+exec), PG via EXPLAIN ANALYZE exec, statement_timeout=120s"
# metric,orca_ms/pg_ms = duration; speedup=pg/orca (>1 ORCA faster); PG TIMEOUT = could not finish in 120s

query,orca_ms,orca_status,pg_ms,pg_status,speedup,note
1,472.7,OK,TIMEOUT,TIMEOUT,>=254,PG_TIMEOUT(>120s); ORCA finished
2,3262.7,OK,3271.4,OK,1.00,
3,109.0,OK,36.3,OK,0.33,
4,8992.3,OK,TIMEOUT,TIMEOUT,>=13,PG_TIMEOUT(>120s); ORCA finished
5,6481.0,OK,4289.5,OK,0.66,
6,1322.4,OK,TIMEOUT,TIMEOUT,>=91,PG_TIMEOUT(>120s); ORCA finished
7,2457.4,OK,3636.7,OK,1.48,
8,843.2,OK,761.1,OK,0.90,
9,10390.0,OK,9911.8,OK,0.95,
10,2645.4,OK,1850.5,OK,0.70,
11,5192.4,OK,TIMEOUT,TIMEOUT,>=23,PG_TIMEOUT(>120s); ORCA finished
12,244.4,OK,222.9,OK,0.91,
13,3311.0,OK,2480.7,OK,0.75,
14,28033.4,OK,66278.4,OK,2.36,
15,1271.2,OK,783.9,OK,0.62,
16,3315.5,OK,4208.6,OK,1.27,
17,4047.8,OK,1971.4,OK,0.49,
18,2683.9,OK,2121.1,OK,0.79,
19,2015.6,OK,797.7,OK,0.40,
20,469.4,OK,332.8,OK,0.71,
21,683.8,OK,3372.5,OK,4.93,
22,16619.8,OK,8518.7,OK,0.51,
23,26452.1,OK,22676.3,OK,0.86,
24,4054.1,OK,1749.4,OK,0.43,
25,4348.0,OK,2665.8,OK,0.61,
26,1785.7,OK,1900.1,OK,1.06,
27,2507.3,OK,3581.6,OK,1.43,
28,8771.0,OK,8468.8,OK,0.97,
29,4037.4,OK,1837.3,OK,0.46,
30,220.5,OK,23532.8,OK,106.71,
31,2351.6,OK,17642.2,OK,7.50,
32,979.5,OK,269.6,OK,0.28,
33,2923.0,OK,1335.8,OK,0.46,
34,1412.8,OK,774.3,OK,0.55,
35,2204.4,OK,1500.3,OK,0.68,
36,2084.8,OK,2130.3,OK,1.02,
37,221.4,OK,11.9,OK,0.05,
38,2766.7,OK,7437.9,OK,2.69,
39,1883.2,OK,11203.8,OK,5.95,
40,1335.8,OK,358.9,OK,0.27,
41,58.2,OK,2176.3,OK,37.37,
42,1410.1,OK,735.6,OK,0.52,
43,1978.8,OK,1584.5,OK,0.80,
44,3874.4,OK,3654.4,OK,0.94,
45,885.5,OK,479.6,OK,0.54,
46,2575.0,OK,1638.2,OK,0.64,
47,8220.9,OK,8374.9,OK,1.02,
48,2918.8,OK,2868.8,OK,0.98,
49,499.6,OK,300.9,OK,0.60,
50,464.8,OK,149.0,OK,0.32,
51,3290.9,OK,3451.0,OK,1.05,
52,1412.2,OK,737.6,OK,0.52,
53,629.4,OK,625.1,OK,0.99,
54,1690.3,OK,47057.4,OK,27.84,
55,173.3,OK,573.8,OK,3.31,
56,2779.9,OK,748.0,OK,0.27,
57,3380.9,OK,3413.4,OK,1.01,
58,3741.6,OK,1135.1,OK,0.30,
59,3862.5,OK,3940.9,OK,1.02,
60,2762.9,OK,2419.3,OK,0.88,
61,249.9,OK,0.6,OK,0.00,
62,852.9,OK,740.4,OK,0.87,
63,342.6,OK,729.6,OK,2.13,
64,1861.6,OK,1305.1,OK,0.70,
65,3040.0,OK,1989.4,OK,0.65,
66,2410.5,OK,1123.9,OK,0.47,
67,14681.5,OK,9295.4,OK,0.63,
68,1975.8,OK,1084.5,OK,0.55,
69,2844.1,OK,1144.7,OK,0.40,
70,2491.2,OK,2580.4,OK,1.04,
71,3057.1,OK,1137.9,OK,0.37,
72,5259.7,OK,1373.4,OK,0.26,
73,1288.0,OK,936.9,OK,0.73,
74,4103.6,OK,TIMEOUT,TIMEOUT,>=29,PG_TIMEOUT(>120s); ORCA finished
75,4506.4,OK,3537.7,OK,0.79,
76,1871.9,OK,1745.6,OK,0.93,
77,3841.9,OK,1535.5,OK,0.40,
78,6985.7,OK,7135.5,OK,1.02,
79,2071.2,OK,970.8,OK,0.47,
80,4385.8,OK,1665.5,OK,0.38,
81,241.7,OK,18618.6,OK,77.03,
82,225.5,OK,35.6,OK,0.16,
83,542.6,OK,214.9,OK,0.40,
84,426.9,OK,100.8,OK,0.24,
85,3771.7,OK,277.3,OK,0.07,
86,1027.3,OK,1047.2,OK,1.02,
87,2701.2,OK,7544.6,OK,2.79,
88,8406.4,OK,5126.9,OK,0.61,
89,1147.8,OK,1177.9,OK,1.03,
90,814.2,OK,544.9,OK,0.67,
