# TPC-H Benchmark Report
# generated,2026-05-27
# build,HEAD=b17245d (adaptive join-order downshift)
# config,"pg_orca.cost_model=pg, max_parallel_workers_per_gather=0, 3 runs median, EXPLAIN ANALYZE exec time"
# metric,orca_ms / pg_ms = server-side Execution Time (ms); speedup = pg_ms/orca_ms (>1 ORCA faster)

query,sf1_orca_ms,sf1_pg_ms,sf1_speedup,sf5_orca_ms,sf5_pg_ms,sf5_speedup,sf10_orca_ms,sf10_pg_ms,sf10_speedup,fallback
1,10674.9,10338.0,0.97,53196.7,51573.7,0.97,106367.1,103240.0,0.97,0
2,459.5,472.3,1.03,2486.5,2561.0,1.03,5071.2,5205.1,1.03,0
3,3164.2,3006.2,0.95,16053.1,15417.4,0.96,39261.5,31842.4,0.81,0
4,798.0,774.1,0.97,6154.1,6021.5,0.98,12210.6,31176.0,2.55,0
5,953.3,890.3,0.93,6783.1,12001.2,1.77,13796.8,21567.2,1.56,0
6,2211.0,2190.2,0.99,11602.7,11489.1,0.99,23508.0,23119.8,0.98,0
7,2038.0,1910.5,0.94,11159.0,14187.7,1.27,22945.7,28832.2,1.26,0
8,2034.2,881.4,0.43,5066.7,4593.5,0.91,11236.1,9880.6,0.88,0
9,5374.0,7617.2,1.42,29184.7,40002.6,1.37,48605.7,44812.7,0.92,0
10,1351.4,2917.5,2.16,9472.7,14435.4,1.52,19714.1,30358.2,1.54,0
11,635.6,503.4,0.79,3181.7,2551.4,0.80,6424.3,5172.7,0.81,0
12,3068.2,3641.3,1.19,16200.4,17956.2,1.11,32468.1,33071.0,1.02,0
13,1839.2,1760.4,0.96,10525.3,10070.6,0.96,22394.4,21499.4,0.96,0
14,2276.1,2255.4,0.99,11823.3,11722.2,0.99,23846.9,23565.0,0.99,0
15,2374.9,2343.5,0.99,12060.9,11767.3,0.98,24283.0,23672.2,0.97,0
16,1145.0,1143.9,1.00,6451.6,6435.4,1.00,13675.9,13683.0,1.00,0
17,76.8,1645.3,21.43,416.8,8640.6,20.73,826.5,17213.9,20.83,0
18,8836.3,7898.6,0.89,39894.6,62133.5,1.56,84563.7,122981.5,1.45,0
19,111.2,107.6,0.97,1030.0,1003.6,0.97,2075.6,2023.2,0.97,0
20,85.1,430.9,5.06,894.0,3931.1,4.40,1827.1,8197.4,4.49,0
21,3641.3,3499.9,0.96,20261.6,28678.4,1.42,46842.5,58163.2,1.24,0
22,759.8,590.0,0.78,4979.7,3199.4,0.64,10042.0,6781.8,0.68,0

# SUMMARY
scale_factor,total_orca_s,total_pg_s,sum_ratio_speedup,geomean_speedup,median_speedup,orca_faster>5%,orca_slower>5%,fallbacks
1,53.9,56.8,1.054,1.209,0.97,5,6,0
5,278.9,340.4,1.221,1.315,1.00,9,3,0
10,572.0,666.1,1.164,1.316,1.00,8,5,0
